Jocul 57: Scor total = 10005, Swap-uri = 912, Motiv oprire = REACHED_TARGET, Timp = 3.55 secunde
Jocul 58: Scor total = 10000, Swap-uri = 821, Motiv oprire = REACHED_TARGET, Timp = 3.35 secunde
Jocul 59: Scor total = 10000, Swap-uri = 871, Motiv oprire = REACHED_TARGET, Timp = 3.27 secunde
Jocul 60: Scor total = 10000, Swap-uri = 852, Motiv oprire = REACHED_TARGET, Timp = 3.31 secunde
Jocul 61: Scor total = 10010, Swap-uri = 918, Motiv oprire = REACHED_TARGET, Timp = 3.79 secunde
Jocul 62: Scor total = 10000, Swap-uri = 869, Motiv oprire = REACHED_TARGET, Timp = 3.40 secunde
Jocul 63: Scor total = 10005, Swap-uri = 876, Motiv oprire = REACHED_TARGET, Timp = 3.55 secunde
Jocul 64: Scor total = 10005, Swap-uri = 904, Motiv oprire = REACHED_TARGET, Timp = 3.60 secunde
Jocul 65: Scor total = 10015, Swap-uri = 866, Motiv oprire = REACHED_TARGET, Timp = 3.28 secunde
Jocul 66: Scor total = 10000, Swap-uri = 866, Motiv oprire = REACHED_TARGET, Timp = 3.23 secunde
Jocul 67: Scor total = 10005, Swap-uri = 821, Motiv oprire = REACHED_TARGET, Timp = 3.18 secunde
Jocul 68: Scor total = 10020, Swap-uri = 867, Motiv oprire = REACHED_TARGET, Timp = 3.29 secunde
Jocul 69: Scor total = 10000, Swap-uri = 876, Motiv oprire = REACHED_TARGET, Timp = 3.36 secunde
Jocul 70: Scor total = 10010, Swap-uri = 865, Motiv oprire = REACHED_TARGET, Timp = 3.47 secunde
Jocul 71: Scor total = 10025, Swap-uri = 883, Motiv oprire = REACHED_TARGET, Timp = 3.42 secunde
Jocul 72: Scor total = 10030, Swap-uri = 847, Motiv oprire = REACHED_TARGET, Timp = 3.12 secunde
Jocul 73: Scor total = 10000, Swap-uri = 928, Motiv oprire = REACHED_TARGET, Timp = 3.60 secunde
Jocul 74: Scor total = 10000, Swap-uri = 876, Motiv oprire = REACHED_TARGET, Timp = 3.41 secunde
Jocul 75: Scor total = 10000, Swap-uri = 928, Motiv oprire = REACHED_TARGET, Timp = 3.54 secunde
Jocul 76: Scor total = 10000, Swap-uri = 901, Motiv oprire = REACHED_TARGET, Timp = 3.34 secunde
Jocul 77: Scor total = 10030, Swap-uri = 893, Motiv oprire = REACHED_TARGET, Timp = 3.36 secunde
Jocul 78: Scor total = 10000, Swap-uri = 887, Motiv oprire = REACHED_TARGET, Timp = 3.28 secunde
Jocul 79: Scor total = 10000, Swap-uri = 886, Motiv oprire = REACHED_TARGET, Timp = 3.43 secunde
Jocul 80: Scor total = 10020, Swap-uri = 855, Motiv oprire = REACHED_TARGET, Timp = 3.30 secunde
Jocul 81: Scor total = 10000, Swap-uri = 926, Motiv oprire = REACHED_TARGET, Timp = 3.61 secunde
Jocul 82: Scor total = 10000, Swap-uri = 853, Motiv oprire = REACHED_TARGET, Timp = 3.40 secunde
Jocul 83: Scor total = 10005, Swap-uri = 910, Motiv oprire = REACHED_TARGET, Timp = 3.40 secunde
Jocul 84: Scor total = 10005, Swap-uri = 969, Motiv oprire = REACHED_TARGET, Timp = 3.57 secunde
Jocul 85: Scor total = 10000, Swap-uri = 977, Motiv oprire = REACHED_TARGET, Timp = 3.87 secunde
Jocul 86: Scor total = 10015, Swap-uri = 875, Motiv oprire = REACHED_TARGET, Timp = 3.23 secunde
Jocul 87: Scor total = 10075, Swap-uri = 916, Motiv oprire = REACHED_TARGET, Timp = 3.23 secunde
Jocul 88: Scor total = 10010, Swap-uri = 829, Motiv oprire = REACHED_TARGET, Timp = 2.97 secunde
Jocul 89: Scor total = 10005, Swap-uri = 842, Motiv oprire = REACHED_TARGET, Timp = 3.10 secunde
Jocul 90: Scor total = 10005, Swap-uri = 833, Motiv oprire = REACHED_TARGET, Timp = 3.05 secunde
Jocul 91: Scor total = 10000, Swap-uri = 843, Motiv oprire = REACHED_TARGET, Timp = 3.16 secunde
Jocul 92: Scor total = 10000, Swap-uri = 890, Motiv oprire = REACHED_TARGET, Timp = 3.36 secunde
Jocul 93: Scor total = 10000, Swap-uri = 898, Motiv oprire = REACHED_TARGET, Timp = 3.15 secunde
Jocul 94: Scor total = 10015, Swap-uri = 844, Motiv oprire = REACHED_TARGET, Timp = 2.95 secunde
Jocul 95: Scor total = 10000, Swap-uri = 872, Motiv oprire = REACHED_TARGET, Timp = 3.13 secunde
Jocul 96: Scor total = 10005, Swap-uri = 869, Motiv oprire = REACHED_TARGET, Timp = 3.17 secunde
Jocul 97: Scor total = 10000, Swap-uri = 936, Motiv oprire = REACHED_TARGET, Timp = 3.03 secunde
Jocul 98: Scor total = 10010, Swap-uri = 946, Motiv oprire = REACHED_TARGET, Timp = 3.45 secunde
Jocul 99: Scor total = 10005, Swap-uri = 917, Motiv oprire = REACHED_TARGET, Timp = 3.35 secunde
Jocul 100: Scor total = 10000, Swap-uri = 872, Motiv oprire = REACHED_TARGET, Timp = 2.78 secunde

Medie rezultate:

1.Medie swap-uri: 877.77
2.Medie timp: 3.36
3.Timp total: 336.26
4.Medie puncte: 10008.45
